year,round,alt,driverId,driverRef,driver_points,driver_standings_pos,driver_wins,grid,Podium,circuitRef,constructorRef,seconds
1999,6,13,22,barrichello,6,8,0,5,0,villeneuve,stewart,0
1999,6,13,71,damon_hill,3,9,0,14,0,villeneuve,jordan,0
1999,6,13,30,michael_schumacher,30,2,2,1,0,villeneuve,ferrari,0
1999,6,13,25,wurz,1,11,0,11,0,villeneuve,benetton,0
1999,6,13,14,coulthard,12,6,0,4,7,villeneuve,mclaren,6100.731
1999,6,13,44,panis,1,13,0,15,9,villeneuve,prost,0
1999,6,13,21,fisichella,13,5,0,7,2,villeneuve,benetton,6096.509
1999,6,13,69,badoer,0,20,0,21,10,villeneuve,minardi,0
1999,6,13,49,frentzen,13,4,0,6,11,villeneuve,jordan,0
1999,6,13,68,takagi,0,17,0,19,0,villeneuve,arrows,0
1999,6,13,56,irvine,25,3,1,3,3,villeneuve,ferrari,6097.524
1999,6,13,64,diniz,1,16,0,18,6,villeneuve,sauber,6099.438
1999,6,13,57,hakkinen,34,1,3,2,1,villeneuve,mclaren,6095.727
1999,6,13,37,rosa,1,14,0,20,0,villeneuve,arrows,0
1999,7,228,23,ralf_schumacher,15,5,0,16,4,magny_cours,williams,7149.818
1999,7,228,15,trulli,1,11,0,8,7,magny_cours,prost,7162.114
1999,7,228,65,herbert,2,10,0,9,0,magny_cours,stewart,0
1999,7,228,48,gene,0,19,0,19,0,magny_cours,minardi,0
1999,7,228,55,alesi,1,15,0,2,0,magny_cours,sauber,0
1999,7,228,70,zanardi,0,21,0,15,0,magny_cours,williams,0
1999,7,228,22,barrichello,10,8,0,1,3,magny_cours,stewart,7147.775
1999,7,228,71,damon_hill,3,9,0,18,0,magny_cours,jordan,0
1999,7,228,30,michael_schumacher,32,2,2,6,5,magny_cours,ferrari,7152.224
1999,7,228,25,wurz,1,12,0,13,0,magny_cours,benetton,0
1999,7,228,14,coulthard,12,7,0,4,0,magny_cours,mclaren,0
1999,7,228,44,panis,1,13,0,3,8,magny_cours,prost,7162.874
1999,7,228,41,zonta,0,22,0,10,9,magny_cours,bar,7193.107
1999,7,228,21,fisichella,13,6,0,7,0,magny_cours,benetton,0
1999,7,228,69,badoer,0,20,0,20,10,magny_cours,minardi,0
1999,7,228,49,frentzen,23,4,1,5,1,magny_cours,jordan,7104.343
1999,7,228,68,takagi,0,17,0,22,0,magny_cours,arrows,0
1999,7,228,56,irvine,26,3,1,17,6,magny_cours,ferrari,7153.244
1999,7,228,64,diniz,1,16,0,11,0,magny_cours,sauber,0
1999,7,228,57,hakkinen,40,1,3,14,2,magny_cours,mclaren,7115.435
1999,7,228,37,rosa,1,14,0,21,11,magny_cours,arrows,0
1999,8,153,23,ralf_schumacher,19,6,0,8,3,silverstone,williams,5577.555
1999,8,153,15,trulli,1,12,0,14,9,silverstone,prost,5622.189
1999,8,153,65,herbert,2,10,0,11,12,silverstone,stewart,5627.853
1999,8,153,48,gene,0,19,0,22,15,silverstone,minardi,0
1999,8,153,55,alesi,1,16,0,10,14,silverstone,sauber,0
1999,8,153,70,zanardi,0,21,0,13,11,silverstone,williams,5627.268
1999,8,153,22,barrichello,10,8,0,7,8,silverstone,stewart,5618.734
1999,8,153,71,damon_hill,5,9,0,6,5,silverstone,jordan,5588.75
1999,8,153,30,michael_schumacher,32,2,2,2,0,silverstone,ferrari,0
1999,8,153,25,wurz,1,13,0,18,10,silverstone,benetton,5622.267
1999,8,153,14,coulthard,22,5,1,3,1,silverstone,mclaren,5550.144
1999,8,153,44,panis,1,14,0,15,13,silverstone,prost,5630.636
1999,8,153,41,zonta,0,22,0,16,0,silverstone,bar,0
1999,8,153,21,fisichella,13,7,0,17,7,silverstone,benetton,5604.758
1999,8,153,69,badoer,0,20,0,21,0,silverstone,minardi,0
1999,8,153,49,frentzen,26,4,1,5,4,silverstone,jordan,5577.933
1999,8,153,68,takagi,0,17,0,19,16,silverstone,arrows,0
1999,8,153,56,irvine,32,3,1,4,2,silverstone,ferrari,5551.973
1999,8,153,64,diniz,2,11,0,12,6,silverstone,sauber,5603.787
1999,8,153,57,hakkinen,40,1,3,1,0,silverstone,mclaren,0
